Date,Open,High,Low,Close,Adj Close,Volume
2000-08-31,4.212054,4.392857,4.209821,4.352679,3.798641,104899200
2000-09-01,4.379464,4.544643,4.366071,4.531250,3.954481,64218000
2000-09-05,4.475446,4.580357,4.446429,4.459821,3.892146,74660600
2000-09-06,4.383929,4.455357,4.125000,4.174107,3.642799,88851000
2000-09-07,4.223214,4.468750,4.160714,4.428571,3.864874,54366200
2000-09-08,4.401786,4.401786,4.178571,4.205357,3.670071,48879600
2000-09-11,4.191964,4.312500,4.151786,4.174107,3.642799,46845400
2000-09-12,4.095982,4.290179,4.071429,4.125000,3.599942,46999400
2000-09-13,4.053571,4.250000,4.053571,4.142857,3.615526,76496000
2000-09-14,4.183036,4.258929,4.058036,4.061384,3.544423,106638000
2000-09-15,4.125000,4.156250,3.875000,3.945313,3.443126,98628600
2000-09-18,3.946429,4.339286,3.933036,4.332589,3.781108,106134000
2000-09-19,4.267857,4.321429,4.183036,4.281250,3.736303,67877600
2000-09-20,4.243304,4.388393,4.183036,4.360491,3.805459,56847000
2000-09-21,4.178571,4.258929,3.946429,4.049107,3.533709,127622600
2000-09-22,3.593750,3.745536,3.571429,3.727679,3.253195,181675200
2000-09-25,3.767857,3.964286,3.718750,3.821429,3.335011,108887800
2000-09-26,3.808036,3.910714,3.669643,3.674107,3.206442,72734200
2000-09-27,3.696429,3.767857,3.446429,3.495536,3.050600,100564800
2000-09-28,3.522321,3.843750,3.437500,3.821429,3.335011,244896400
2000-09-29,2.013393,2.071429,1.812500,1.839286,1.605169,1855410200
2000-10-02,1.906250,1.910714,1.678571,1.732143,1.511664,606197200
2000-10-03,1.781250,1.785714,1.584821,1.593750,1.390887,509530000
2000-10-04,1.598214,1.696429,1.562500,1.687500,1.472704,366506000
2000-10-05,1.678571,1.750000,1.571429,1.575893,1.375302,218251600
2000-10-06,1.620536,1.638393,1.500000,1.584821,1.383095,153164200
2000-10-09,1.616071,1.633929,1.508929,1.553571,1.355822,149391200
2000-10-10,1.544643,1.602679,1.464286,1.491071,1.301278,172775400
